Cairo, Clinic A, Dr Ahmed, Cardiology
Qena, Clinic A, Dr Marwan, Cardiology
Qena, Clinic A, Dr Amani, Dermatology
Qena, Clinic A, Dr Radwan, Pediatrics

Qena, Clinic B, Dr Manar, Neurology
Qena, Clinic B, Dr Fares, Dentistry
Qena, Clinic B, Dr Lubna, Orthopedics

Qena, Clinic C, Dr Ashraf, General Surgery
Qena, Clinic C, Dr Shorouk, Ophthalmology
Qena, Clinic C, Dr Baher, ENT


Aswan, Clinic A, Dr Fawzy, Cardiology
Aswan, Clinic A, Dr Hala, Dermatology
Aswan, Clinic A, Dr Sherif, Pediatrics

Aswan, Clinic B, Dr Dalia, Neurology
Aswan, Clinic B, Dr Raed, Dentistry
Aswan, Clinic B, Dr Hagar, Orthopedics

Aswan, Clinic C, Dr Islam, General Surgery
Aswan, Clinic C, Dr Nehal, Ophthalmology
Aswan, Clinic C, Dr Nour, ENT


Red Sea, Clinic A, Dr Nader, Cardiology
Red Sea, Clinic A, Dr Rola, Dermatology
Red Sea, Clinic A, Dr Youssef, Pediatrics

Red Sea, Clinic B, Dr Lamis, Neurology
Red Sea, Clinic B, Dr Salem, Dentistry
Red Sea, Clinic B, Dr Dalia, Orthopedics

Red Sea, Clinic C, Dr Salma, General Surgery
Red Sea, Clinic C, Dr Farid, Ophthalmology
Red Sea, Clinic C, Dr Hadeer, ENT
